"","Condition","Percent","Homo","Hetero"
"2","V1_45","0",0.0353294324023622,0.0614389098817837
"3","V1_45","0",0.135235487571245,0.155679761853696
"4","V1_45","0",0.216973077774405,0.155025806104845
"5","V1_45","0",0.0852285291845249,0.0640058012625916
"6","V1_45","0",0.121983993487014,0.217893619456467
"7","V1_45","0",0.162300688136684,0.107989357301219
"8","V1_45","0",0.117504319679322,0.0789611121123057
"9","V1_45","0",0.0776071687920229,0.14197879515757
"10","V1_45","0",0.207607629097501,0.105963230576419
"11","V1_45","10",0.104310317077891,0.116902192777334
"12","V1_45","10",0.186242004589568,0.20869051977885
"13","V1_45","10",0.207738507500489,0.191712927579569
"14","V1_45","10",0.161011516063907,0.174692511309725
"15","V1_45","10",0.176329539870085,0.221913687242861
"16","V1_45","10",0.143652162528903,0.131974896723199
"17","V1_45","10",0.151117934874721,0.119736870045797
"18","V1_45","10",0.201331547261187,0.192587951158066
"19","V1_45","10",0.220365750442163,0.223760851171885
"20","V1_45","20",0.138744495923456,0.142485016257261
"21","V1_45","20",0.170080654116586,0.192900761477664
"22","V1_45","20",0.201027048778194,0.180525276872463
"23","V1_45","20",0.188534735961406,0.202179803502048
"24","V1_45","20",0.173346355532426,0.179021062211971
"25","V1_45","20",0.167363841987166,0.15351424122061
"26","V1_45","20",0.142452797081355,0.145495930928685
"27","V1_45","20",0.188390958193129,0.235586651051675
"28","V1_45","20",0.18824602240893,0.220913503204371
"29","V1_45","40",0.151280913412302,0.145772125883744
"30","V1_45","40",0.166478341002569,0.177568906783827
"31","V1_45","40",0.179243321810433,0.171081312498585
"32","V1_45","40",0.175406442546855,0.181538161732516
"33","V1_45","40",0.158359977571911,0.165858560389963
"34","V1_45","40",0.166495798516878,0.171864272897836
"35","V1_45","40",0.184098335251311,0.177813258231961
"36","V1_45","40",0.220994731420273,0.182911135620152
"37","V1_45","40",0.18703407635698,0.221757330210255
"38","V1_45","60",0.138900453995903,0.162188496860762
"39","V1_45","60",0.161299766128448,0.170656359565609
"40","V1_45","60",0.169537453618251,0.16120833124759
"41","V1_45","60",0.172115568593157,0.18004615417182
"42","V1_45","60",0.158713312919332,0.161937338513633
"43","V1_45","60",0.159842787822477,0.171764941735599
"44","V1_45","60",0.19564805836053,0.180935928490847
"45","V1_45","60",0.199356630125615,0.168227002139448
"46","V1_45","60",0.198858840087975,0.200960437565879
"47","V1_45","100",0.13514951417377,0.161356181817622
"48","V1_45","100",0.163120966247908,0.174048437747847
