"","Condition","Percent","Homo","Hetero"
"2","V1_45","10",0.240108537407921,0.105524263972555
"3","V1_45","10",0.191039316190463,0.200369061671815
"4","V1_45","10",0.222606978127426,0.189778696189694
"5","V1_45","10",0.222873347832662,0.190710932242371
"6","V1_45","10",0.17892014381537,0.162632865636129
"7","V1_45","10",0.172908545492368,0.206091824448168
"8","V1_45","10",0.149836042462228,0.171370535430282
"9","V1_45","10",0.246097348384694,0.248868821067325
"10","V1_45","10",0.224064671218999,0.24941124320582
"11","V1_45","20",0.112377046575552,0.00756939953936355
"12","V1_45","20",0.168738692854603,0.185093783374738
"13","V1_45","20",0.207466589212612,0.160681499229
"14","V1_45","20",0.203831865352445,0.198853390394458
"15","V1_45","20",0.15725452631673,0.145376585692537
"16","V1_45","20",0.167420698126381,0.176657243832061
"17","V1_45","20",0.238735910463597,0.180996058000721
"18","V1_45","20",0.193104105655365,0.208207367011379
"19","V1_45","20",0.174759200199559,0.216074458313656
"20","V1_45","40",0.0820198581462847,0.0686116133505755
"21","V1_45","40",0.150512197047193,0.167522235219147
"22","V1_45","40",0.186478389077714,0.143996002089426
"23","V1_45","40",0.196102654675453,0.187704892059358
"24","V1_45","40",0.137886789079532,0.141181432561986
"25","V1_45","40",0.127963378334598,0.151329477673919
"26","V1_45","40",0.200565018778485,0.209435312816624
"27","V1_45","40",0.173340385513488,0.168327840142614
"28","V1_45","40",0.172891020923319,0.196498050569997
"29","V1_45","60",0.0664585569139381,0.0708869460122453
"30","V1_45","60",0.144602042955392,0.162641662525194
"31","V1_45","60",0.174974132992935,0.136980097836422
"32","V1_45","60",0.185767508871129,0.17736659417318
"33","V1_45","60",0.138674541163772,0.137432701007103
"34","V1_45","60",0.144937382992334,0.153853597004066
"35","V1_45","60",0.212523202529007,0.214670986564272
"36","V1_45","60",0.158740264124825,0.145375238091495
"37","V1_45","60",0.170097794524418,0.172219118997364
"38","V1_45","100",0.0789958495535899,0.0789150196880482
"39","V1_45","100",0.14589511030639,0.162452341299631
"40","V1_45","100",0.153593508843229,0.13026544399409
"41","V1_45","100",0.169801070779898,0.171146789511624
"42","V1_45","100",0.135091192986542,0.138479792880652
"43","V1_45","100",0.13928604622372,0.131966433970803
"44","V1_45","100",0.218249260881153,0.223294284905259
"45","V1_45","100",0.141179059336069,0.151428250389615
"46","V1_45","100",0.170491852079027,0.177716262901496
"47","V1_90","10",0.259665175697154,0.117040769195271
"48","V1_90","10",0.191084532304309,0.135167105151353
"49","V1_90","10",0.163453257978931,0.153070701393241
"50","V1_90","10",0.233116182559014,0.142837965426372
"51","V1_90","10",0.194378859580933,0.103488309228718
"52","V1_90","10",0.325191936450518,0.135154500577125
"53","V1_90","10",0.311508620289475,0.153148191854803
"54","V1_90","10",0.244213597108311,0.130400781598398
"55","V1_90","10",0.230440367637028,0.16080315464048
"56","V1_90","20",0.143511880729504,0.0992081758826903
"57","V1_90","20",0.194162233791655,0.130749767033236
"58","V1_90","20",0.133019491377254,0.141288041372191
"59","V1_90","20",0.209782970059331,0.130892794624543
"60","V1_90","20",0.174719978869714,0.0865787443266754
"61","V1_90","20",0.231890153266745,0.171874902662013
"62","V1_90","20",0.282420028880107,0.150329802304652
"63","V1_90","20",0.219601761391146,0.15110234960465
"64","V1_90","20",0.191081120901724,0.122901121557105
"65","V1_90","40",0.117735183721446,0.123512361849742
"66","V1_90","40",0.193675607693772,0.136993317969428
