Paradigm,Condition,Percent,variable,mean_value,sd_value,se_value
Task,PPC 45,100,Homo,0.15070506609561,0.00825876352771108,0.00337162609153335
Task,PPC 45,100,Hetero,0.161821262162131,0.014505887618052,0.00592200382173065
Task,PPC 90,0,Homo,0.0757668391177609,0.0838379939045486,0.0342267176874517
Task,PPC 90,0,Hetero,0,0,0
Task,PPC 90,10,Homo,0.155611547874118,0.00781535283980784,0.00319060443622345
Task,PPC 90,10,Hetero,0.130451987106274,0.021841523614026,0.00891676467655221
Task,PPC 90,20,Homo,0.164162976218114,0.0283941406607816,0.0115918593839545
Task,PPC 90,20,Hetero,0.140399237089827,0.0194070050172262,0.00792287662130622
Task,PPC 90,40,Homo,0.152706451206149,0.0165640049349361,0.00676222669792265
Task,PPC 90,40,Hetero,0.138147137199509,0.0147365857972093,0.00601618595898473
Task,PPC 90,60,Homo,0.154890357906482,0.0151327369155829,0.00617791397582612
Task,PPC 90,60,Hetero,0.143560563343736,0.0197531449210732,0.00806418764531307
Task,PPC 90,100,Homo,0.151203818596969,0.0140835407832145,0.00574958144842543
Task,PPC 90,100,Hetero,0.139910370168804,0.0121148086446816,0.00494584991848808
Task,PPC 135,0,Homo,0.0867755591694784,0.0646002509364073,0.0263729420083249
Task,PPC 135,0,Hetero,0.0418235125415996,0.0311009234417544,0.0126968988269437
Task,PPC 135,10,Homo,0.181108147869475,0.0473553214641025,0.0193327290320865
Task,PPC 135,10,Hetero,0.146738537206081,0.0284390737330983,0.0116102032339131
Task,PPC 135,20,Homo,0.170299603013602,0.0294866397560939,0.0120378702719491
Task,PPC 135,20,Hetero,0.159462711965995,0.0340717902442629,0.0139097501202637
Task,PPC 135,40,Homo,0.162970076234834,0.0201732911353667,0.00823571161904325
Task,PPC 135,40,Hetero,0.153765523351303,0.0240760812954466,0.00982901902993507
Task,PPC 135,60,Homo,0.156567788665828,0.016850599004248,0.00687922823677633
Task,PPC 135,60,Hetero,0.151160117602214,0.0149450897296749,0.0061013073329688
Task,PPC 135,100,Homo,0.150916314218279,0.0125551029270238,0.00512559930655531
Task,PPC 135,100,Hetero,0.147521020742388,0.0134470102681168,0.00548971895380869
Passive,V1 45,0,Homo,0,0,0
Passive,V1 45,0,Hetero,0,0,0
Passive,V1 45,10,Homo,0.124763953484241,0.0645465696447521,0.028866103488018
Passive,V1 45,10,Hetero,0.0955714281549552,0.036791236912177,0.0164535413423854
Passive,V1 45,20,Homo,0.116912162177317,0.0436219551596441,0.0195083314096824
Passive,V1 45,20,Hetero,0.113926148281186,0.0280541587705018,0.0125462012124828
Passive,V1 45,40,Homo,0.113514772436795,0.0397298654137397,0.0177677359604079
Passive,V1 45,40,Hetero,0.116899908365801,0.023230640509228,0.0103890582678988
Passive,V1 45,60,Homo,0.115134660162117,0.0254877662331905,0.0113984755784076
Passive,V1 45,60,Hetero,0.121494591972599,0.0194390802479314,0.00869342097088959
Passive,V1 45,100,Homo,0.132909656744163,0.0275845773600818,0.0123361980215489
Passive,V1 45,100,Hetero,0.119428685442606,0.0150480787003315,0.00672970538094159
Passive,V1 90,0,Homo,0.0295243486920094,0.0314810685392167,0.0140787618516037
Passive,V1 90,0,Hetero,0.0242448142004894,0.0158139299504933,0.00707220447214459
Passive,V1 90,10,Homo,0.0916443517598801,0.0282825817707954,0.012648355083739
Passive,V1 90,10,Hetero,0.109257777100377,0.0366270975972131,0.0163801360091775
Passive,V1 90,20,Homo,0.118492685211368,0.0452737146207906,0.0202470206972028
Passive,V1 90,20,Hetero,0.115879678973707,0.0313417985750522,0.0140164784301846
Passive,V1 90,40,Homo,0.14489526644461,0.0346489941570298,0.0154955012574223
Passive,V1 90,40,Hetero,0.126493508285703,0.0211337823087778,0.0094513147728219
Passive,V1 90,60,Homo,0.14952780743259,0.0308181148948857,0.0137822799686727
Passive,V1 90,60,Hetero,0.125725804689156,0.0241232126804036,0.0107882286778135
Passive,V1 90,100,Homo,0.14637111085439,0.0264237844575283,0.0118170756539671
Passive,V1 90,100,Hetero,0.12059476604772,0.0215834142459435,0.0096523962880934
Passive,V1 135,0,Homo,0,0,0
Passive,V1 135,0,Hetero,0,0,0
Passive,V1 135,10,Homo,0.0920048954834264,0.0300111510654659,0.0134213947730794
Passive,V1 135,10,Hetero,0.0820289871568347,0.0297554082505555,0.0133070231093001
Passive,V1 135,20,Homo,0.123295482192171,0.0359994927587706,0.0160994625928245
Passive,V1 135,20,Hetero,0.0891208857444278,0.0277688411818683,0.0124186033078106
Passive,V1 135,40,Homo,0.124691978481051,0.014279551736151,0.00638600967405173
Passive,V1 135,40,Hetero,0.0891200153102814,0.0253732350812552,0.0113472556901538
Passive,V1 135,60,Homo,0.13185258119951,0.0392555562003409,0.0175556184317051
Passive,V1 135,60,Hetero,0.0925720874868186,0.0229213176861956,0.0102507248960403
Passive,V1 135,100,Homo,0.134315625251917,0.0308551331873325,0.013798835052337
Passive,V1 135,100,Hetero,0.10075138509883,0.0187442658005998,0.00838269050369312
Passive,PPC 45,0,Homo,0.0346481978781599,0.0322174140394674,0.0121770379191474
Passive,PPC 45,0,Hetero,0.0299536717956823,0.0259576482242984,0.00981106883165586
Passive,PPC 45,10,Homo,0.115366201028748,0.0258868297733258,0.00978430197315466
Passive,PPC 45,10,Hetero,0.107958384807161,0.0325423088371205,0.0122998366101258
Passive,PPC 45,20,Homo,0.130717570417513,0.0268493697138316,0.0101481078745183
Passive,PPC 45,20,Hetero,0.12051531560141,0.023679657251116,0.00895006917395718
Passive,PPC 45,40,Homo,0.134108827761595,0.0196763764446906,0.00743697125364866
Passive,PPC 45,40,Hetero,0.124393736281352,0.0218158279794382,0.00824560792550832
Passive,PPC 45,60,Homo,0.134197123186239,0.0121153426544557,0.00457916910171755
Passive,PPC 45,60,Hetero,0.125086438939543,0.0135360425097843,0.00511614317384113
Passive,PPC 45,100,Homo,0.133907601950684,0.005194128201811,0.00196319592853986
Passive,PPC 45,100,Hetero,0.12940708818333,0.00818655543095076,0.00309422710922013
Passive,PPC 90,0,Homo,0.0330538612395051,0.0414730379939042,0.0156753349494577
Passive,PPC 90,0,Hetero,0.0234152022295417,0.0243635252149397,0.00920854696851171
Passive,PPC 90,10,Homo,0.113089465056973,0.0277207095482537,0.0104774433758476
Passive,PPC 90,10,Hetero,0.109641495350445,0.0350920869240015,0.0132635621410242
Passive,PPC 90,20,Homo,0.126861940870166,0.0171957957142657,0.00649939986511675
Passive,PPC 90,20,Hetero,0.122043505784579,0.0301869470390155,0.0114095935293589
Passive,PPC 90,40,Homo,0.127318926741166,0.0129031455528349,0.00487693060903859
